Wojewodztwa,Rok,Ogolem,Mezczyzni,Kobiety
Dolnoslaskie,2010,2877840,1378522,1499318
Kujawsko-pomorskie,2010,2069543,998045,1071498
Lubelskie,2010,2151895,1042109,1109786
Lubuskie,2010,1011024,490023,521001
Lodzkie,2010,2534357,1204940,1329417
Malopolskie,2010,3310094,1603967,1706127
Mazowieckie,2010,5242911,2507685,2735226
Opolskie,2010,1028585,497521,531064
Podkarpackie,2010,2103505,1028577,1074928
Podlaskie,2010,1188329,578687,609642
Pomorskie,2010,2240319,1088139,1152180
Slaskie,2010,4635882,2234174,2401708
Swietokrzyskie,2010,1266014,616462,649552
Warminsko-mazurskie,2010,1427241,695631,731610
Wielkopolskie,2010,3419426,1658759,1760667
Zachodniopomorskie,2010,1693072,821132,871940
