wojewodztwa,Rok,Ogolem,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 >
Dolnoslaskie,2002,27456,285,29,44,135,191,189,209,347,753,1270,1844,1460,1941,2959,4150,4853,3250,3547
Kujawsko-pomorskie,2002,19036,207,25,24,84,116,127,147,238,473,835,1192,1117,1378,1961,2678,2826,2312,3296
Lubelskie,2002,22730,185,22,43,101,153,146,188,274,544,912,1208,1073,1447,2129,3163,3686,3128,4328
Lubuskie,2002,8646,82,10,19,57,72,84,92,106,247,377,538,528,611,1013,1274,1384,974,1178
Lodzkie,2002,30587,212,23,40,109,176,201,242,371,773,1374,1889,1753,2024,2847,4074,5011,4102,5366
Malopolskie,2002,27805,258,30,42,112,163,158,199,283,555,931,1360,1413,1950,2885,3880,4577,3661,5348
Mazowieckie,2002,51080,347,67,77,228,364,336,419,557,1194,2111,2864,2555,3274,4918,6988,8132,6541,10108
Opolskie,2002,9288,59,17,18,53,63,55,51,84,173,347,540,447,851,1194,1375,1417,1092,1452
Podkarpackie,2002,17970,173,22,31,74,117,111,139,177,332,641,771,847,1177,1843,2572,3024,2391,3528
Podlaskie,2002,11440,96,12,21,64,66,80,98,153,268,423,549,486,766,1101,1566,1793,1400,2498
Pomorskie,2002,17893,201,33,34,89,124,131,145,243,454,772,1153,1061,1400,1887,2472,2658,2090,2946
Slaskie,2002,44768,417,35,65,180,258,292,336,574,1170,2013,2833,2803,4041,5007,6408,6401,4989,6946
Swietokrzyskie,2002,13479,106,6,15,71,68,85,88,163,288,484,714,632,857,1216,1939,2179,1932,2636
Warminsko-mazurskie,2002,11998,98,14,22,97,122,98,104,180,371,598,822,628,892,1357,1799,1803,1277,1716
Wielkopolskie,2002,30472,271,37,56,147,197,201,249,362,741,1310,1785,1631,2022,2999,3958,4718,3884,5904
Zachodniopomorskie,2002,14838,135,21,25,94,112,110,145,189,411,751,1048,829,1141,1619,2318,2492,1614,1784
