Wojewodztwa,Rok,Ogolem,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 >
Dolnoslaskie,2010,29721,200,20,19,77,149,174,228,338,407,762,1739,2600,2702,2024,3060,4241,5034,5947
Kujawsko-pomorskie,2010,20453,150,14,19,66,111,103,183,219,337,637,1143,1639,1928,1692,2179,2851,3116,4066
Lubelskie,2010,23037,133,20,27,83,124,151,165,263,369,657,1085,1555,1683,1582,2352,3272,4174,5342
Lubuskie,2010,9488,66,8,10,35,53,69,84,106,153,281,620,880,962,645,1007,1279,1470,1760
Lodzkie,2010,31221,122,17,15,73,130,186,278,364,533,880,1815,2540,2820,2183,3037,4184,5214,6830
Malopolskie,2010,29633,192,20,22,81,138,173,218,261,429,697,1404,1870,2187,2202,3230,4539,5106,6864
Mazowieckie,2010,53389,319,22,51,140,245,334,419,579,832,1350,2738,3942,4181,3596,5357,7458,9195,12631
Opolskie,2010,9882,52,5,5,29,45,45,57,89,140,258,469,721,873,816,1308,1562,1647,1761
Podkarpackie,2010,18288,135,6,11,60,102,110,126,167,283,466,776,1153,1284,1214,2049,2870,3207,4269
Podlaskie,2010,11814,64,3,9,42,77,80,96,126,158,310,588,728,793,808,1174,1731,2186,2841
Pomorskie,2010,19319,145,15,24,62,97,121,149,176,314,546,1094,1626,1808,1517,2194,2763,2891,3777
Slaskie,2010,47719,306,21,27,102,204,270,336,531,849,1459,2921,3984,4278,4397,5848,6793,6951,8442
Swietokrzyskie,2010,14006,91,5,4,41,84,93,87,159,207,334,651,991,1063,958,1392,1926,2461,3459
Warminsko-mazurskie,2010,12942,92,10,16,49,71,107,125,164,246,431,831,1173,1148,966,1371,1813,1981,2348
Wielkopolskie,2010,31037,207,18,26,99,180,169,224,346,483,861,1604,2264,2937,2245,3402,4385,4907,6680
Zachodniopomorskie,2010,16529,113,6,12,40,86,108,117,185,266,475,1041,1491,1683,1236,1792,2344,2631,2903
