Wojewodztwa,Rok,Ogolem,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 >
Dolnoslaskie  ,2024,32463,89,11,14,55,71,98,184,316,514,777,880,1272,2131,3952,4839,4379,3574,9307
Kujawsko-pomorskie  ,2024,21948,53,9,18,28,43,71,146,218,328,478,634,924,1516,2722,3236,3014,2606,5904
Lubelskie  ,2024,22393,79,5,15,30,57,79,112,250,330,445,625,897,1456,2321,2878,2854,2864,7096
Lubuskie  ,2024,10663,15,3,10,14,26,39,70,119,204,240,333,422,756,1369,1697,1494,1179,2673
Lodzkie  ,2024,30046,59,7,13,40,69,105,170,297,465,659,912,1215,1860,3345,4189,4309,3675,8657
Malopolskie  ,2024,32835,118,21,22,59,70,107,193,299,423,644,851,1298,2047,3322,3945,4250,4212,10954
Mazowieckie  ,2024,57515,150,19,26,88,143,204,332,557,890,1274,1627,2155,3432,6020,7570,7416,6824,18788
Opolskie  ,2024,10760,21,4,7,13,23,32,72,90,121,169,254,443,719,1189,1509,1363,1458,3273
Podkarpackie  ,2024,20294,59,8,10,30,53,56,116,174,326,417,554,865,1286,2152,2416,2475,2569,6728
Podlaskie  ,2024,12007,32,5,13,32,20,33,66,103,189,243,311,495,760,1263,1417,1321,1552,4152
Pomorskie  ,2024,23460,96,9,17,51,59,71,144,223,318,484,626,894,1547,2758,3412,3133,2918,6700
Slaskie  ,2024,51441,109,20,24,81,97,134,291,498,774,993,1451,2021,3505,5892,7105,6815,7428,14203
Swietokrzyskie  ,2024,14249,38,2,7,20,31,38,67,130,206,283,369,524,986,1574,1910,1891,1735,4438
Warminsko-mazurskie  ,2024,14446,42,10,11,33,26,53,106,174,251,345,425,595,1099,1848,2124,1882,1571,3851
Wielkopolskie  ,2024,35212,108,14,26,65,94,123,254,381,519,737,1006,1487,2377,3998,5066,5254,4095,9608
Zachodniopomorskie,2024,18772,33,10,10,38,47,47,115,172,274,463,532,759,1338,2335,2961,2604,1968,5066
